,Strings,Riti,Square,,,,100.00%,0.0,PW 40%,,,,,100.00%,0.0,TRUE,FALSE,FALSE,,Pitch,Triangle,6,,10 cents,TRUE,0.02,FALSE,Multi,"7,900",86.00%,"6,500",84.00%,100.00%,85.00%,0,1.19,0.00%,0,0,0.09,0.00%,0
,Strings,Sitar,PW 10%,,,,100.00%,0.0,PW 35%,C3,,,,100.00%,0.0,FALSE,FALSE,FALSE,,Pitch,Triangle,6.5,,40 cents,FALSE,,FALSE,Multi,"20,000",100.00%,"20,000",100.00%,0.00%,0.00%,,,,,0,0.93,0.00%,0.93
,Strings,Standup Bass,PW 25%,-1,,,100.00%,0.0,Triangle,,-1,,,100.00%,0.0,TRUE,FALSE,FALSE,,Amplitude,Triangle,15,10.00%,,FALSE,,FALSE,Multi,40,10.00%,40,10.00%,0.00%,75.00%,0,2.33,60.00%,2.33,0,1.28,0.00%,1.38
,Strings,Viola,Sawtooth,,,,70.00%,-11.6,PW 25%,,,7,,100.00%,0.0,TRUE,TRUE,FALSE,,Pitch Osc2,Triangle,4,,80 cents,FALSE,,FALSE,Multi,"4,900",80.00%,"2,300",69.00%,0.00%,0.00%,,,,,0.81,max,100.00%,0.73
,Strings,Violin,None,,,,0.00%,-40.0,Sawtooth,,,6,,100.00%,0.0,TRUE,TRUE,FALSE,,Pitch Osc2,Triangle,5,,88 cents,FALSE,,FALSE,Multi,"3,200",73.00%,"1,900",66.00%,0.00%,0.00%,,,,,0.03,max,100.00%,0.35
,Tuned Percussion,Bell,Triangle,,,,100.00%,0.0,Square,,,5,,65.00%,-14.0,TRUE,FALSE,FALSE,,Amplitude,Triangle,7.5,5.00%,,FALSE,,FALSE,Multi,"20,000",100.00%,"20,000",100.00%,0.00%,0.00%,,,,,0,1.3,0.00%,3.3
,Tuned Percussion,Bongos,Triangle,,,,100.00%,0.0,Square,,,,,65.00%,-13.9,TRUE,FALSE,FALSE,,None,None,,,,FALSE,,FALSE,2,600,49.00%,400,43.00%,0.00%,60.00%,0,0.11,0.00%,0.11,0,0.22,0.00%,0.22
,Tuned Percussion,Conga,Square,,,,100.00%,0.0,Square,,1,2,,85.00%,-6.5,TRUE,FALSE,FALSE,,None,None,,,,FALSE,,FALSE,Mono,300,39.00%,150,29.00%,40.00%,50.00%,0,0.02,80.00%,max,0,0.15,0.00%,0.15
,Tuned Percussion,Glockenspiel,Triangle,,,,100.00%,0.0,Triangle,,2,6,,100.00%,0.0,TRUE,FALSE,FALSE,,None,None,,,,FALSE,,FALSE,All,"3,800",76.00%,"1,900",66.00%,0.00%,75.00%,0,0.1,25.00%,0.1,0,1.2,0.00%,1.2
,Tuned Percussion,Marimba,Triangle,,,,100.00%,0.0,Triangle,,2,,,75.00%,-9.6,TRUE,FALSE,FALSE,,Amplitude,Triangle,8,11.00%,,FALSE,,FALSE,Multi,"2,900",72.00%,"1,900",66.00%,0.00%,0.00%,,,,,0,1.66,20.00%,1.66
,Tuned Percussion,Timpani,Square,-1,,,100.00%,0.0,Square,,-1,-10,,60.00%,-15.3,TRUE,FALSE,FALSE,,None,None,,,,FALSE,,FALSE,Multi,800,53.00%,500,46.00%,45.00%,35.00%,0,0.35,0.00%,0.38,0,2.89,0.00%,1.9
,Tuned Percussion,Xylophone,Triangle,1,10,,100.00%,0.0,Triangle,,,,,100.00%,0.0,TRUE,FALSE,FALSE,,Amplitude,Triangle,7.5,5.00%,,FALSE,,FALSE,Multi,300,39.00%,100,23.00%,0.00%,60.00%,0,0.53,45.00%,0.5,0,1.88,0.00%,1.78
,Untuned Percussion,Bass Drum,Triangle,-2,,,100.00%,0.0,Triangle,,-2,,,100.00%,0.0,TRUE,FALSE,FALSE,,None,None,,,,FALSE,,FALSE,Multi,"20,000",100.00%,"20,000",100.00%,0.00%,0.00%,,,,,0,0.12,0.00%,12
,Untuned Percussion,Castanets,None,,,,100.00%,0.0,None,,,,,,,FALSE,FALSE,TRUE,100.00%,None,None,,,,FALSE,,FALSE,Mono,"7,600",86.00%,"7,600",86.00%,100.00%,0.00%,,,,,0,0.04,0.00%,0.04
,Untuned Percussion,Clap,None,,,,100.00%,0.0,None,,,,,,,TRUE,FALSE,TRUE,100.00%,Amplitude,Square,32,45.00%,,FALSE,,FALSE,Multi,"1,600",63.00%,"1,100",58.00%,30.00%,50.00%,0,0.15,0.00%,0.15,0,0.11,0.00%,0.11
,Untuned Percussion,Claves,None,,,,100.00%,0.0,None,,,,,,,FALSE,FALSE,TRUE,100.00%,None,None,,,,FALSE,,FALSE,Mono,"2,100",67.00%,"2,100",67.00%,100.00%,0.00%,,,,,0,0.14,0.00%,0.14
,Untuned Percussion,Cowbell,Square,,,,100.00%,0.0,PW 35%,,1,2,,100.00%,0.0,TRUE,FALSE,FALSE,,None,None,,,,FALSE,,FALSE,Mono,"8,800",88.00%,"8,800",88.00%,55.00%,65.00%,0,0.02,65.00%,max,0,0.15,0.00%,0.15
,Untuned Percussion,"Cowbell, Analog",PW 10%,,,,100.00%,0.0,PW 35%,,,5,,100.00%,0.0,TRUE,FALSE,FALSE,,None,None,,,,FALSE,,FALSE,Mono,"8,100",87.00%,"3,400",74.00%,0.00%,55.00%,0,0.02,65.00%,max,0,0.15,0.00%,0.15
,Untuned Percussion,Cymbal,None,,,,,,None,,,,,,,,,TRUE,100.00%,None,,,,,,,,Mono,"9,400",89.00%,"9,400",89.00%,50.00%,70.00%,0,0.14,0.00%,1.8,0,1.1,0.00%,1
,Untuned Percussion,Side Stick,None,,,,100.00%,0.0,None,,,,,,,TRUE,FALSE,TRUE,100.00%,None,None,,,,FALSE,,FALSE,Mono,"2,700",71.00%,"2,700",71.00%,100.00%,85.00%,0,1.19,0.00%,0,0,0.09,0.00%,0
,Untuned Percussion,Snare Drum,Triangle,-1,,,100.00%,0.0,None,,,,,,,TRUE,FALSE,TRUE,20.00%,None,,,,,FALSE,,FALSE,Multi,"20,000",100.00%,"20,000",100.00%,0.00%,0.00%,,,,,0,0.27,0.00%,0.27
,Untuned Percussion,Tambourine,None,,,,100.00%,0.0,None,,,,,,,TRUE,FALSE,TRUE,100.00%,None,,,,,FALSE,,FALSE,Mono,"5,300",81.00%,"5,300",81.00%,100.00%,0.00%,,,,,0,0.34,0.00%,0.34
,Untuned Percussion,Wheels of Steel,None,,,,100.00%,0.0,None,,,,,,,TRUE,FALSE,TRUE,100.00%,None,,,,,FALSE,,FALSE,Mono,40,10.00%,40,10.00%,40.00%,100.00%,0.02,0.09,0.00%,0.09,0,1.65,0.00%,0.05
,Vocals,Angels,Sawtooth,,,,100.00%,0.0,None,,,,,0.00%,-40.0,,,FALSE,,Pitch,Triangle,2.4,,20 cents,FALSE,,FALSE,Multi,900,55.00%,900,55.00%,70.00%,0.00%,,,,,0.32,max,100.00%,0.93
,Vocals,Choir,PW 15%,-2,,,100.00%,0.0,PW 25%,,,,,100.00%,0.0,TRUE,FALSE,FALSE,,Pitch,Triangle,2.4,,20 cents,FALSE,,FALSE,Multi,"1,700",64.00%,"1,000",56.00%,0.00%,0.00%,,,,,0.32,max,100.00%,0.93
,Vocals,"Vocal, Female",PW 5%,,,,100.00%,0.0,PW 25%,,,,,65.00%,-13.9,TRUE,FALSE,FALSE,,,,,,,FALSE,,FALSE,Multi,"1,200",59.00%,"1,200",59.00%,50.00%,0.00%,,,,,0.32,max,100.00%,0.93
